,id,node_id,monitor_item,monitor_value,monitor_time
6960,1609014,75714127,disps,-12.163,2018-12-18 21:41:36
6961,1609015,29,wind_dir,11.0,2018-12-18 21:38:18
6962,1609016,29,wind-dir-v,241.0,2018-12-18 21:38:18
6963,1609017,29,humidity,71.9,2018-12-18 21:38:18
6964,1609018,29,air-temp,9.3,2018-12-18 21:38:18
6965,1609019,29,wind_speed,0.8,2018-12-18 21:38:18
6966,1609020,29,wind-dir-v,241.0,2018-12-18 21:38:18
6967,1609021,29,wind_dir,11.0,2018-12-18 21:38:18
6968,1609022,29,wind_speed,0.8,2018-12-18 21:38:18
6969,1609023,29,air-temp,9.3,2018-12-18 21:38:18
6970,1609024,29,humidity,71.9,2018-12-18 21:38:18
6971,1609025,29,wind_speed,0.6,2018-12-18 21:43:18
6972,1609026,29,humidity,72.2,2018-12-18 21:43:18
6973,1609027,29,air-temp,9.3,2018-12-18 21:43:18
6974,1609028,29,wind-dir-v,237.0,2018-12-18 21:43:18
6975,1609029,29,wind_dir,11.0,2018-12-18 21:43:18
6976,1609030,16,temp,8.8,2018-12-18 21:00:00
6977,1609031,16,S,14.652,2018-12-18 21:00:00
6978,1609032,17,S,16.748,2018-12-18 21:00:00
6979,1609033,17,temp,8.8,2018-12-18 21:00:00
6980,1609034,18,S,63.611,2018-12-18 21:00:00
6981,1609035,18,temp,8.8,2018-12-18 21:00:00
6982,1609036,19,S,-57.238,2018-12-18 21:00:00
6983,1609037,19,temp,8.8,2018-12-18 21:00:00
6984,1609038,12,S,22.564,2018-12-18 21:00:00
6985,1609039,12,temp,8.9,2018-12-18 21:00:00
6986,1609040,13,S,-19.726,2018-12-18 21:00:00
6987,1609041,13,temp,8.9,2018-12-18 21:00:00
6988,1609042,14,temp,8.9,2018-12-18 21:00:00
6989,1609043,14,S,-19.643,2018-12-18 21:00:00
6990,1609044,15,temp,8.9,2018-12-18 21:00:00
6991,1609045,15,S,0.268,2018-12-18 21:00:00
6992,1609046,20,S,-8.803,2018-12-18 21:00:00
6993,1609047,20,temp,8.6,2018-12-18 21:00:00
6994,1609048,21,S,11.08,2018-12-18 21:00:00
6995,1609049,21,temp,8.6,2018-12-18 21:00:00
6996,1609050,22,S,4.186,2018-12-18 21:00:00
6997,1609051,22,temp,8.6,2018-12-18 21:00:00
6998,1609054,75714124,disps,-7.191,2018-12-18 21:46:22
